section,emoji_handle,emoji_link
Nature,cloud,http://www.emoji-cheat-sheet.com/graphics/emojis/cloud.png
Nature,snowflake,http://www.emoji-cheat-sheet.com/graphics/emojis/snowflake.png
Nature,snowman,http://www.emoji-cheat-sheet.com/graphics/emojis/snowman.png
Nature,zap,http://www.emoji-cheat-sheet.com/graphics/emojis/zap.png
Nature,cyclone,http://www.emoji-cheat-sheet.com/graphics/emojis/cyclone.png
Nature,foggy,http://www.emoji-cheat-sheet.com/graphics/emojis/foggy.png
Nature,ocean,http://www.emoji-cheat-sheet.com/graphics/emojis/ocean.png
Nature,cat,http://www.emoji-cheat-sheet.com/graphics/emojis/cat.png
Nature,dog,http://www.emoji-cheat-sheet.com/graphics/emojis/dog.png
Nature,mouse,http://www.emoji-cheat-sheet.com/graphics/emojis/mouse.png
Nature,hamster,http://www.emoji-cheat-sheet.com/graphics/emojis/hamster.png
Nature,rabbit,http://www.emoji-cheat-sheet.com/graphics/emojis/rabbit.png
Nature,wolf,http://www.emoji-cheat-sheet.com/graphics/emojis/wolf.png
Nature,frog,http://www.emoji-cheat-sheet.com/graphics/emojis/frog.png
Nature,tiger,http://www.emoji-cheat-sheet.com/graphics/emojis/tiger.png
Nature,koala,http://www.emoji-cheat-sheet.com/graphics/emojis/koala.png
Nature,bear,http://www.emoji-cheat-sheet.com/graphics/emojis/bear.png
Nature,pig,http://www.emoji-cheat-sheet.com/graphics/emojis/pig.png
Nature,pig_nose,http://www.emoji-cheat-sheet.com/graphics/emojis/pig_nose.png
Nature,cow,http://www.emoji-cheat-sheet.com/graphics/emojis/cow.png
Nature,boar,http://www.emoji-cheat-sheet.com/graphics/emojis/boar.png
Nature,monkey_face,http://www.emoji-cheat-sheet.com/graphics/emojis/monkey_face.png
Nature,monkey,http://www.emoji-cheat-sheet.com/graphics/emojis/monkey.png
Nature,horse,http://www.emoji-cheat-sheet.com/graphics/emojis/horse.png
Nature,racehorse,http://www.emoji-cheat-sheet.com/graphics/emojis/racehorse.png
Nature,camel,http://www.emoji-cheat-sheet.com/graphics/emojis/camel.png
Nature,sheep,http://www.emoji-cheat-sheet.com/graphics/emojis/sheep.png
Nature,elephant,http://www.emoji-cheat-sheet.com/graphics/emojis/elephant.png
Nature,panda_face,http://www.emoji-cheat-sheet.com/graphics/emojis/panda_face.png
Nature,snake,http://www.emoji-cheat-sheet.com/graphics/emojis/snake.png
Nature,bird,http://www.emoji-cheat-sheet.com/graphics/emojis/bird.png
Nature,baby_chick,http://www.emoji-cheat-sheet.com/graphics/emojis/baby_chick.png
Nature,hatched_chick,http://www.emoji-cheat-sheet.com/graphics/emojis/hatched_chick.png
Nature,hatching_chick,http://www.emoji-cheat-sheet.com/graphics/emojis/hatching_chick.png
Nature,chicken,http://www.emoji-cheat-sheet.com/graphics/emojis/chicken.png
Nature,penguin,http://www.emoji-cheat-sheet.com/graphics/emojis/penguin.png
Nature,turtle,http://www.emoji-cheat-sheet.com/graphics/emojis/turtle.png
Nature,bug,http://www.emoji-cheat-sheet.com/graphics/emojis/bug.png
Nature,honeybee,http://www.emoji-cheat-sheet.com/graphics/emojis/honeybee.png
Nature,ant,http://www.emoji-cheat-sheet.com/graphics/emojis/ant.png
Nature,beetle,http://www.emoji-cheat-sheet.com/graphics/emojis/beetle.png
Nature,snail,http://www.emoji-cheat-sheet.com/graphics/emojis/snail.png
Nature,octopus,http://www.emoji-cheat-sheet.com/graphics/emojis/octopus.png
Nature,tropical_fish,http://www.emoji-cheat-sheet.com/graphics/emojis/tropical_fish.png
Nature,fish,http://www.emoji-cheat-sheet.com/graphics/emojis/fish.png
Nature,whale,http://www.emoji-cheat-sheet.com/graphics/emojis/whale.png
Nature,whale2,http://www.emoji-cheat-sheet.com/graphics/emojis/whale2.png
Nature,dolphin,http://www.emoji-cheat-sheet.com/graphics/emojis/dolphin.png
Nature,cow2,http://www.emoji-cheat-sheet.com/graphics/emojis/cow2.png
Nature,ram,http://www.emoji-cheat-sheet.com/graphics/emojis/ram.png
Nature,rat,http://www.emoji-cheat-sheet.com/graphics/emojis/rat.png
Nature,water_buffalo,http://www.emoji-cheat-sheet.com/graphics/emojis/water_buffalo.png
Nature,tiger2,http://www.emoji-cheat-sheet.com/graphics/emojis/tiger2.png
Nature,rabbit2,http://www.emoji-cheat-sheet.com/graphics/emojis/rabbit2.png
Nature,dragon,http://www.emoji-cheat-sheet.com/graphics/emojis/dragon.png
Nature,goat,http://www.emoji-cheat-sheet.com/graphics/emojis/goat.png
Nature,rooster,http://www.emoji-cheat-sheet.com/graphics/emojis/rooster.png
Nature,dog2,http://www.emoji-cheat-sheet.com/graphics/emojis/dog2.png
Nature,pig2,http://www.emoji-cheat-sheet.com/graphics/emojis/pig2.png
Nature,mouse2,http://www.emoji-cheat-sheet.com/graphics/emojis/mouse2.png
Nature,ox,http://www.emoji-cheat-sheet.com/graphics/emojis/ox.png
Nature,dragon_face,http://www.emoji-cheat-sheet.com/graphics/emojis/dragon_face.png
Nature,blowfish,http://www.emoji-cheat-sheet.com/graphics/emojis/blowfish.png
Nature,crocodile,http://www.emoji-cheat-sheet.com/graphics/emojis/crocodile.png
Nature,dromedary_camel,http://www.emoji-cheat-sheet.com/graphics/emojis/dromedary_camel.png
Nature,leopard,http://www.emoji-cheat-sheet.com/graphics/emojis/leopard.png
Nature,cat2,http://www.emoji-cheat-sheet.com/graphics/emojis/cat2.png
Nature,poodle,http://www.emoji-cheat-sheet.com/graphics/emojis/poodle.png
Nature,paw_prints,http://www.emoji-cheat-sheet.com/graphics/emojis/paw_prints.png
Nature,bouquet,http://www.emoji-cheat-sheet.com/graphics/emojis/bouquet.png
Nature,cherry_blossom,http://www.emoji-cheat-sheet.com/graphics/emojis/cherry_blossom.png
Nature,tulip,http://www.emoji-cheat-sheet.com/graphics/emojis/tulip.png
Nature,four_leaf_clover,http://www.emoji-cheat-sheet.com/graphics/emojis/four_leaf_clover.png
Nature,rose,http://www.emoji-cheat-sheet.com/graphics/emojis/rose.png
Nature,sunflower,http://www.emoji-cheat-sheet.com/graphics/emojis/sunflower.png
Nature,hibiscus,http://www.emoji-cheat-sheet.com/graphics/emojis/hibiscus.png
Nature,maple_leaf,http://www.emoji-cheat-sheet.com/graphics/emojis/maple_leaf.png
Nature,leaves,http://www.emoji-cheat-sheet.com/graphics/emojis/leaves.png
Nature,fallen_leaf,http://www.emoji-cheat-sheet.com/graphics/emojis/fallen_leaf.png
Nature,herb,http://www.emoji-cheat-sheet.com/graphics/emojis/herb.png
Nature,mushroom,http://www.emoji-cheat-sheet.com/graphics/emojis/mushroom.png
Nature,cactus,http://www.emoji-cheat-sheet.com/graphics/emojis/cactus.png
Nature,palm_tree,http://www.emoji-cheat-sheet.com/graphics/emojis/palm_tree.png
Nature,evergreen_tree,http://www.emoji-cheat-sheet.com/graphics/emojis/evergreen_tree.png
Nature,deciduous_tree,http://www.emoji-cheat-sheet.com/graphics/emojis/deciduous_tree.png
Nature,chestnut,http://www.emoji-cheat-sheet.com/graphics/emojis/chestnut.png
Nature,seedling,http://www.emoji-cheat-sheet.com/graphics/emojis/seedling.png
Nature,blossom,http://www.emoji-cheat-sheet.com/graphics/emojis/blossom.png
Nature,ear_of_rice,http://www.emoji-cheat-sheet.com/graphics/emojis/ear_of_rice.png
Nature,shell,http://www.emoji-cheat-sheet.com/graphics/emojis/shell.png
Nature,globe_with_meridians,http://www.emoji-cheat-sheet.com/graphics/emojis/globe_with_meridians.png
Nature,sun_with_face,http://www.emoji-cheat-sheet.com/graphics/emojis/sun_with_face.png
Nature,full_moon_with_face,http://www.emoji-cheat-sheet.com/graphics/emojis/full_moon_with_face.png
Nature,new_moon_with_face,http://www.emoji-cheat-sheet.com/graphics/emojis/new_moon_with_face.png
Nature,new_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/new_moon.png
Nature,waxing_crescent_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/waxing_crescent_moon.png
Nature,first_quarter_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/first_quarter_moon.png
Nature,waxing_gibbous_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/waxing_gibbous_moon.png
Nature,full_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/full_moon.png
Nature,waning_gibbous_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/waning_gibbous_moon.png
Nature,last_quarter_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/last_quarter_moon.png
Nature,waning_crescent_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/waning_crescent_moon.png
Nature,last_quarter_moon_with_face,http://www.emoji-cheat-sheet.com/graphics/emojis/last_quarter_moon_with_face.png
Nature,first_quarter_moon_with_face,http://www.emoji-cheat-sheet.com/graphics/emojis/first_quarter_moon_with_face.png
Nature,crescent_moon,http://www.emoji-cheat-sheet.com/graphics/emojis/crescent_moon.png
Nature,earth_africa,http://www.emoji-cheat-sheet.com/graphics/emojis/earth_africa.png
Nature,earth_americas,http://www.emoji-cheat-sheet.com/graphics/emojis/earth_americas.png
Nature,earth_asia,http://www.emoji-cheat-sheet.com/graphics/emojis/earth_asia.png
Nature,volcano,http://www.emoji-cheat-sheet.com/graphics/emojis/volcano.png
Nature,milky_way,http://www.emoji-cheat-sheet.com/graphics/emojis/milky_way.png
Nature,partly_sunny,http://www.emoji-cheat-sheet.com/graphics/emojis/partly_sunny.png
Nature,octocat,http://www.emoji-cheat-sheet.com/graphics/emojis/octocat.png
Nature,squirrel,http://www.emoji-cheat-sheet.com/graphics/emojis/squirrel.png
Objects,bamboo,http://www.emoji-cheat-sheet.com/graphics/emojis/bamboo.png
Objects,gift_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/gift_heart.png
Objects,dolls,http://www.emoji-cheat-sheet.com/graphics/emojis/dolls.png
Objects,school_satchel,http://www.emoji-cheat-sheet.com/graphics/emojis/school_satchel.png
Objects,mortar_board,http://www.emoji-cheat-sheet.com/graphics/emojis/mortar_board.png
Objects,flags,http://www.emoji-cheat-sheet.com/graphics/emojis/flags.png
Objects,fireworks,http://www.emoji-cheat-sheet.com/graphics/emojis/fireworks.png
Objects,sparkler,http://www.emoji-cheat-sheet.com/graphics/emojis/sparkler.png
Objects,wind_chime,http://www.emoji-cheat-sheet.com/graphics/emojis/wind_chime.png
Objects,rice_scene,http://www.emoji-cheat-sheet.com/graphics/emojis/rice_scene.png
Objects,jack_o_lantern,http://www.emoji-cheat-sheet.com/graphics/emojis/jack_o_lantern.png
Objects,ghost,http://www.emoji-cheat-sheet.com/graphics/emojis/ghost.png
Objects,santa,http://www.emoji-cheat-sheet.com/graphics/emojis/santa.png
Objects,christmas_tree,http://www.emoji-cheat-sheet.com/graphics/emojis/christmas_tree.png
Objects,gift,http://www.emoji-cheat-sheet.com/graphics/emojis/gift.png
Objects,bell,http://www.emoji-cheat-sheet.com/graphics/emojis/bell.png
Objects,no_bell,http://www.emoji-cheat-sheet.com/graphics/emojis/no_bell.png
Objects,tanabata_tree,http://www.emoji-cheat-sheet.com/graphics/emojis/tanabata_tree.png
Objects,tada,http://www.emoji-cheat-sheet.com/graphics/emojis/tada.png
Objects,confetti_ball,http://www.emoji-cheat-sheet.com/graphics/emojis/confetti_ball.png
Objects,balloon,http://www.emoji-cheat-sheet.com/graphics/emojis/balloon.png
Objects,crystal_ball,http://www.emoji-cheat-sheet.com/graphics/emojis/crystal_ball.png
Objects,cd,http://www.emoji-cheat-sheet.com/graphics/emojis/cd.png
Objects,dvd,http://www.emoji-cheat-sheet.com/graphics/emojis/dvd.png
Objects,floppy_disk,http://www.emoji-cheat-sheet.com/graphics/emojis/floppy_disk.png
Objects,camera,http://www.emoji-cheat-sheet.com/graphics/emojis/camera.png
Objects,video_camera,http://www.emoji-cheat-sheet.com/graphics/emojis/video_camera.png
Objects,movie_camera,http://www.emoji-cheat-sheet.com/graphics/emojis/movie_camera.png
Objects,computer,http://www.emoji-cheat-sheet.com/graphics/emojis/computer.png
Objects,tv,http://www.emoji-cheat-sheet.com/graphics/emojis/tv.png
Objects,iphone,http://www.emoji-cheat-sheet.com/graphics/emojis/iphone.png
